"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",125470.959,72843.62,191789.201,0.565,0.308
"r",0.393,0.245,0.926,0.247,0.663
"q.1",0,0,0,0.97,0.001
"q.2",0.005,0.003,0.009,0.698,0.096
"q.3",0,0,0,0.842,0.08
"q.4",0,0,0,0.969,0.114
"q.5",0.004,0.002,0.007,0.885,0.091
"psi",0.873,0.643,1.079,0.72,0.314
"sigma2",0.002,0.001,0.006,0.67,0.721
"tau2.1",0.008,0.001,0.109,0.776,0.643
"tau2.2",0.002,0,0.016,0.136,0.86
"tau2.3",0.068,0.009,0.193,0.706,0.789
"tau2.4",0.01,0.001,0.182,0.593,0.01
"tau2.5",0.007,0.001,0.07,0.804,0.969
