Year,BRA_LL1,BRA_LL2,SPA_LL1,SPA_LL2,JPN_LL1,JPN_LL2,URU_LL,SA_LL,C_TAI1,C_TAI2,C_TAI3
1950,,,,,,,,,,,
1951,,,,,,,,,,,
1952,,,,,,,,,,,
1953,,,,,,,,,,,
1954,,,,,,,,,,,
1955,,,,,,,,,,,
1956,,,,,,,,,,,
1957,,,,,,,,,,,
1958,,,,,,,,,,,
1959,,,,,,,,,,,
1960,,,,,,,,,,,
1961,,,,,,,,,,,
1962,,,,,,,,,,,
1963,,,,,,,,,,,
1964,,,,,,,,,,,
1965,,,,,,,,,,,
1966,,,,,,,,,,,
1967,,,,,,,,,,,
1968,,,,,,,,,0.311,,
1969,,,,,,,,,0.27,,
1970,,,,,,,,,0.262,,
1971,,,,,,,,,0.282,,
1972,,,,,,,,,0.241,,
1973,,,,,,,,,0.267,,
1974,,,,,,,,,0.236,,
1975,,,,,,,,,0.222,,
1976,,,,,,,,,0.117,,
1977,,,,,,,,,0.121,,
1978,2.949364445,,,,,,,,0.144,, 
1979,2.426849106,,,,,,,,0.187,,
1980,4.044974963,,,,,,,,0.182,,
1981,5.721704442,,,,,,,,0.175,,
1982,6.230856636,,,,,,,,0.142,,
1983,3.62041129,,,,,,,,0.149,, 
1984,2.336120568,,,,,,,,0.186,,
1985,2.970273593,,,,,,,,0.126,,
1986,3.701173711,,,,,,,,0.124,,
1987,6.428470374,,,,,,,,0.146,,
1988,3.191974036,,,,,,,,0.17,,
1989,1.905607627,,535.91,,,,,,0.189,,
1990,4.168295029,,403.909,,2.677,,,,0.175,,
1991,3.857027022,,390.467,,1.61,,,,,0.32,
1992,3.806751562,,354.761,,1.328,,,,,0.38,
1993,1.678209771,,307.831,,1.299,,,,,0.246,
1994,3.103126773,,352.405,,1.484,,,,,0.356,
1995,5.280597602,,402.194,,1.074,,,,,0.251,
1996,6.34462168,,362.581,,1.09,,,,,0.29,
1997,4.154356404,,340.035,,0.961,,,,,0.202,
1998,2.668840039,,331.422,,0.942,,,,,,0.167
1999,3.596493144,,356.245,,0.801,,,,,,0.126
2000,4.984042501,,,430.224,0.576,,,,,,0.139
2001,2.19066125,,,380.538,0.476,,6.47,,,,0.12
2002,4.070346992,,,364.041,0.601,,4.13,,,,0.118
2003,7.262088978,,,319.566,0.515,,6.17,,,,0.112
2004,6.96524459,,,314.02,0.551,,5.22,401.027,,,0.088
2005,,0.860480716,,378.894,0.444,,5.21,381.001,,,0.082
2006,,1.296164233,,382.613,,0.783,5.5,304.355,,,0.115
2007,,1.903001476,,369.436,,1.041,4.96,328.674,,,0.092
2008,,1.210818849,,356.277,,0.929,3.23,268.186,,,0.105
2009,,1.260714087,,389.449,,1.038,3.51,254.112,,,0.084
2010,,1.400106222,,379.479,,0.955,3.29,284.752,,,0.071
2011,,1.146756312,,367.48,,0.797,2,226.249,,,0.076
2012,,1.136501536,,392.346,,1.038,5.08,212.388,,,0.073
2013,,,,393.116,,0.976,,289.201,,,0.093
2014,,,,412.817,,1.006,,273.622,,,0.078
2015,,,,447.395,,1.007,,304.24,,,0.087
