Year,Catch
1950,100
1951,200
1952,200
1953,200
1954,100
1955,100
1956,1
1957,224.000002
1958,92.000001
1959,170.999999
1960,458.999997
1961,1016.000002
1962,769.000015
1963,1418.000003
1964,2030.000013
1965,2578.000012
1966,1952.000006
1967,1576.999984
1968,2448.000018
1969,4481.000014
1970,5426.00002
1971,2166.00002
1972,2579.999995
1973,3078.000011
1974,2752.999994
1975,3062.000007
1976,2811.999986
1977,2854.999993
1978,2766.000022
1979,3293.999997
1980,5323.000028
1981,3975.000018
1982,6447.000024
1983,5402.000023
1984,9161.600003
1985,9585.700005
1986,5894.000021
1987,6029.890001
1988,13172
1989,17055.00002
1990,17304.21005
1991,13892.57001
1992,13813.33001
1993,16130.27
1994,18958.006
1995,21930.3
1996,18289.16004
1997,18542.05304
1998,14027.22501
1999,15501.61003
2000,15727.59803
2001,15127.83003
2002,14103.94304
2003,12632.64803
2004,13076.58103
2005,13162.35402
2006,14245.03803
2007,15629.51857
2008,12546.00046
2009,12846.33293
2010,12697.13819
2011,11298.9584
2012,10677.28673
2013,8211.787982
2014,9908.349569
2015,10256.95542
